Jon (I) Reiss,Bomb It (2007)
Barrie Zwicker,The Great Conspiracy: The 9/11 News Special You Never Saw (2005)
Stuart Gillard,Kart Racer (2003)
Nick (I) Lentz,Crosshairs (2013)
José Luis Guerín,En construcción (2001),En la ciudad de Sylvia (2007)
Simon (III) Blake,Still (2014/II)
Harjit Singh Ricky,Jatt Airways (2013)
José Mojica Marins,Encarnação do Demônio (2008),The Profane Exhibit (2013)
Lesli Klainberg,Fabulous! The Story of Queer Cinema (2006)
Frank Van Passel,Het varken van Madonna (2011),Villa des roses (2002),De smaak van De Keyser (2008)
Geoffrey Schaaf,Shelter Island (2003)
Ülo Pikkov,Frank & Wendy (2004)
A. (I) Majid,Thamizhan (2002)
Petr (II) Jákl,Ghoul (2015/I),Kajinek (2010)
Leung Chun 'Samson' Chiu,Chun tian hua hua tong xue hui (2006),Gam gai (2002),Gam gai 2 (2003),Lo kong ching chuen (2007)
Hans (I) Horn,Open Water 2: Adrift (2006)
Dan (II) Harris,Imaginary Heroes (2004)
Fred Louf,J'aime regarder les filles (2011)
Merve Girgin,O Hayat Benim (2014)
Frank Henenlotter,Bad Biology (2008)
Ujjwal (I) Chatterjee,Escape from Taliban (2003)
Karl Zéro,Being W (2008),Dans la peau de Jacques Chirac (2006)
Ognen Dimitrovski,Skopje Remixed (2012)
Walter Salles,Abril Despedaçado (2001),Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence (2007),Dark Water (2005),Diarios de motocicleta (2004),Linha de Passe (2008),On the Road (2012),Venice 70: Future Reloaded (2013)
Andy (III) Phelps,Zombie Resurrection (2014)
Daniel Viney,Saw Rebirth (2005)
Stefen Fangmeier,Eragon (2006)
Sian (I) Heder,Dog Eat Dog (2012)
Gillian Greene,Murder of a Cat (2014)
Alex Karpovsky,Red Flag (2012),Rubberneck (2012),The Hole Story (2005)
Drew Antzis,The Landlord (2007/I)
Michael Z. Wechsler,The Red Robin (2013)
Guy Goossens,Frits en Freddy (2010)
Cem Baseskioglu,Sen ne dilersen (2005)
Dan Eberle,Cut to Black (2013),The Local (2008)
Hans Teeuwen,Masterclass (2005)
Collin Schiffli,Animals (2014/III)
Sylvia Soska,American Mary (2012),Dead Hooker in a Trunk (2009),See No Evil 2 (2014),The ABCs of Death 2 (2014),Vendetta (2015)
James (II) Coyne,A Certain Justice (2014)
L. Gustavo Cooper,Copiii: The 1st Entry (2013)
Samudra V.,Suryam (2004)
Prashant Chadha,Aap Kaa Surroor: The Moviee - The Real Luv Story (2007),Aazaan (2011)
Yves Hanchar,Sans rancune! (2009)
Josh Fox,GasLand (2010),Gasland Part II (2013)
Tino Struckmann,Code 207 (2011)
James (I) Dodson,The Other End of the Line (2008)
Jang-ha Ryu,Ggotpineun bomi omyeon (2004),Soon-jeong-man-hwa (2008)
Tom (I) Lin,Jiu jiang feng (2008),Xing kong (2011)
Ivan (I) Cotroneo,La kryptonite nella borsa (2011)
Kris (I) Carr,Crazy Sexy Cancer (2007)
Sergio Castellitto,La bellezza del somaro (2010),Nessuno si salva da solo (2015),Non ti muovere (2004),Venuto al mondo (2012)
Il-gon Song,Geomi sup (2004),Ggot seom (2001),Git (2004),O-jik geu-dae-man (2011)
Nicolas Cuche,La chance de ma vie (2011),Prêt à tout (2014)
Maciej Bochniak,Disco Polo (2015)
